Metric,NP,NF,Total,NP,NF,Total,NP,NF,Total,NP,NF,Total
ENCE,37.44652360799323,26.98104288857557,30.033771772636136,26.190719275957758,30.228693540678545,1293.9576485221519,31.254539703056672,21.78628149174032,34.22142104775685,26.839123269416767,26.839123269416767,26.839123269416767
ENEE,36.18772353065522,18.2846084788753,23.281926018883393,22.571108394913388,22.846049491349394,2165.518271250772,25.269149622894968,10.172870388655516,30.51036914225737,17.520523893049592,17.520523893049592,17.520523893049592
Cv,0.43111417236734617,2.2568801360719117,1.571650330143431,2.111300202322425,0.5556700669549812,15.968719422671311,1.161629296894155,0.8236952966818413,0.6489473292584595,1.906184718501026,1.906184718501026,1.906184718501026
